"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Riding Gear","Home","2","Yes","riding-gear","","","","","","Yes","Static block only","","Yes","","","1 column",""
"Tools & Maintenence","Home","6","Yes","tools-maintanence","","","","","","Yes","Static block only","","Yes","","","1 column",""
"Accessories","Home","5","Yes","accessories","","","","","","Yes","Static block only","","Yes","","","1 column",""
"Racing","Home","7","Yes","racing","","","","","","Yes","Products only","","Yes","","","3 columns","<reference>
<remove name=""right.poll""/>
</reference>"
"How-To-Guide","Home","8","Yes","how-to-guide","","","","","","Yes","Products only_AND_Static block only","","Yes","","","3 columns",""
"Tires","Home","4","Yes","tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Aftermarket","Home","3","Yes","aftermarket","","","","","","Yes","Products only","","No","","","No layout updates",""
"OEM Spares","Home","1","Yes","oem-spares","","","","","","Yes","Products only","","No","","","No layout updates",""
"Benelli","Home/OEM Spares","3","Yes","benelli","","","","","","Yes","Products only","","No","","","No layout updates",""
"Indian","Home/OEM Spares","9","Yes","indian","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mahindra","Home/OEM Spares","12","Yes","mahindra","","","","","","Yes","Products only","","No","","","No layout updates",""
"Moto Guzzi","Home/OEM Spares","13","Yes","moto-guzzi","","","","","","Yes","Products only","","No","","","No layout updates",""
"CATEGORY","Home/Accessories","2","Yes","category","","","","","","Yes","Products only","","No","","","No layout updates",""
"BRANDS","Home/Accessories","1","Yes","brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hyosung","Home/OEM Spares","8","Yes","hyosung","","","","","","Yes","Products only","","No","","","No layout updates",""
"TVS","Home/OEM Spares","18","Yes","tvs","","","","","","Yes","Products only","","No","","","No layout updates",""
"Accessories","Home/Racing","1","Yes","accessories","","","","","","Yes","Products only","","Yes","","","3 columns",""
"CATEGORY","Home/Tires","2","Yes","category","","","","","","Yes","Products only","","No","","","No layout updates",""
"MAINTENENCE BRANDS","Home/Tools & Maintenence","4","Yes","maintenence-brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"MAINTENENCE CATEGORY","Home/Tools & Maintenence","3","Yes","maintenence-category","","","","","","Yes","Products only","","No","","","No layout updates",""
"HELMETS BRANDS","Home/Riding Gear","4","No","helmets-brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"HELMETS CATEGORY","Home/Riding Gear","3","No","helmets-category","","","","","","Yes","Products only","","No","","","No layout updates",""
"Home & Decor","Home/Racing","4","Yes","home-decor","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Men","Home/Racing","3","Yes","men","","","","","","Yes","Products only","","Yes","","","3 columns",""
"TOOLS BRANDS","Home/Tools & Maintenence","2","Yes","tools-brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"Women","Home/Racing","2","Yes","women","","","","","","Yes","Products only","","Yes","","","3 columns",""
"Aprillia","Home/OEM Spares","1","Yes","aprillia","","","","","","Yes","Products only","","No","","","No layout updates",""
"TOOLS CATEGORY","Home/Tools & Maintenence","1","Yes","tools-category","","","","","","Yes","Products only","","No","","","No layout updates",""
"MV Agusta","Home/OEM Spares","14","Yes","mv-agusta","","","","","","Yes","Products only","","No","","","No layout updates",""
"BMW","Home/OEM Spares","4","Yes","bmw","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bajaj","Home/OEM Spares","2","Yes","bajaj","","","","","","Yes","Products only","","No","","","No layout updates",""
"Harley Davidson","Home/OEM Spares","5","Yes","harley-davidson","","","","","","Yes","Products only","","No","","","No layout updates",""
"Kawasaki","Home/OEM Spares","10","Yes","kawasaki","","","","","","Yes","Products only","","No","","","No layout updates",""
"Honda","Home/OEM Spares","7","Yes","honda","","","","","","Yes","Products only","","No","","","No layout updates",""
"KTM","Home/OEM Spares","11","Yes","ktm","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hero","Home/OEM Spares","6","Yes","hero","","","","","","Yes","Products only","","No","","","No layout updates",""
"Royal Enfield","Home/OEM Spares","15","Yes","royal-enfield","","","","","","Yes","Products only","","No","","","No layout updates",""
"Suzuki","Home/OEM Spares","16","Yes","suzuki","","","","","","Yes","Products only","","No","","","No layout updates",""
"Triumph","Home/OEM Spares","17","Yes","triumph","","","","","","Yes","Products only","","No","","","No layout updates",""
"Vespa","Home/OEM Spares","19","Yes","vespa","","","","","","Yes","Products only","","No","","","No layout updates",""
"Yamaha","Home/OEM Spares","20","Yes","yamaha","","","","","","Yes","Products only","","No","","","No layout updates",""
"RIDING GEAR CATEGORY","Home/Riding Gear","1","Yes","riding-gear-category","","","","","","Yes","Products only","","No","","","No layout updates",""
"BRANDS","Home/Tires","1","Yes","brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"CATEGORY","Home/Aftermarket","1","Yes","category","","","","","","Yes","Products only","","No","","","No layout updates",""
"BRANDS","Home/Aftermarket","2","Yes","brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"RIDING GEAR BRANDS","Home/Riding Gear","2","Yes","riding-gear-brands","","","","","","Yes","Products only","","No","","","No layout updates",""
"Fork Oil","Home/Tools & Maintenence/MAINTENENCE CATEGORY","13","Yes","fork-oil","","","","","","Yes","Products only","","No","","","No layout updates",""
"Measuring Cups","Home/Tools & Maintenence/MAINTENENCE CATEGORY","12","Yes","measuring-cups","","","","","","Yes","Products only","","No","","","No layout updates",""
"Paint  / Primer","Home/Tools & Maintenence/MAINTENENCE CATEGORY","11","Yes","paint-primer","","","","","","Yes","Products only","","No","","","No layout updates",""
"Liquid Gasket","Home/Tools & Maintenence/MAINTENENCE CATEGORY","10","Yes","liquid-gasket","","","","","","Yes","Products only","","No","","","No layout updates",""
"Grease","Home/Tools & Maintenence/MAINTENENCE CATEGORY","9","Yes","grease","","","","","","Yes","Products only","","No","","","No layout updates",""
"Adhesive","Home/Tools & Maintenence/MAINTENENCE CATEGORY","8","Yes","adhesive","","","","","","Yes","Products only","","No","","","No layout updates",""
"Coolants","Home/Tools & Maintenence/MAINTENENCE CATEGORY","7","Yes","coolants","","","","","","Yes","Products only","","No","","","No layout updates",""
"Fuel Additives","Home/Tools & Maintenence/MAINTENENCE CATEGORY","6","Yes","fuel-additives","","","","","","Yes","Products only","","No","","","No layout updates",""
"Chain Lubricant","Home/Tools & Maintenence/MAINTENENCE CATEGORY","4","Yes","chain-lubricant","","","","","","Yes","Products only","","No","","","No layout updates",""
"Brake Fluid","Home/Tools & Maintenence/MAINTENENCE CATEGORY","3","Yes","brake-fluid","","","","","","Yes","Products only","","No","","","No layout updates",""
"2-Stroke Engine Oil","Home/Tools & Maintenence/MAINTENENCE CATEGORY","2","Yes","2-stroke-engine-oil","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cleaner / Polish","Home/Tools & Maintenence/MAINTENENCE CATEGORY","14","Yes","cleaner-polish","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sealant","Home/Tools & Maintenence/MAINTENENCE CATEGORY","15","Yes","sealant","","","","","","Yes","Products only","","No","","","No layout updates",""
"Engine Ice","Home/Tools & Maintenence/MAINTENENCE BRANDS","9","Yes","engine-ice","","","","","","Yes","Products only","","No","","","No layout updates",""
"Silkolene","Home/Tools & Maintenence/MAINTENENCE BRANDS","7","Yes","silkolene","","","","","","Yes","Products only","","No","","","No layout updates",""
"Repsol","Home/Tools & Maintenence/MAINTENENCE BRANDS","6","Yes","repsol","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mobil 1","Home/Tools & Maintenence/MAINTENENCE BRANDS","5","Yes","mobil-1","","","","","","Yes","Products only","","No","","","No layout updates",""
"Muc-off","Home/Tools & Maintenence/MAINTENENCE BRANDS","8","Yes","muc-off","","","","","","Yes","Products only","","No","","","No layout updates",""
"Maxima","Home/Tools & Maintenence/MAINTENENCE BRANDS","4","Yes","maxima","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bel-Ray","Home/Tools & Maintenence/MAINTENENCE BRANDS","3","Yes","bel-ray","","","","","","Yes","Products only","","No","","","No layout updates",""
"Castrol","Home/Tools & Maintenence/MAINTENENCE BRANDS","2","Yes","castrol","","","","","","Yes","Products only","","No","","","No layout updates",""
"Motul","Home/Tools & Maintenence/MAINTENENCE BRANDS","1","Yes","motul","","","","","","Yes","Products only","","No","","","No layout updates",""
